Height01;Thickness01;Height03;Thickness03;Height1;Thickness1;Height3;Thickness3
0;0.002683;0;0.002683;0;0.002683;0;0.002683
0.0001;0.002683;0.000285714;0.002683;0.001;0.002683;0.002;0.002683
0.0002;0.002683;0.000571429;0.002683;0.002;0.002683;0.002;0.0013331
0.0003;0.002683;0.000857143;0.002683;0.002;0.00201755;0.004794;0.0013331
0.0004;0.002683;0.00114286;0.002683;0.00293133;0.00167532;0.004794;0.001016
0.0005;0.002683;0.00142857;0.002683;0.00386267;0.00119073;0.007334;0.001016
0.0006;0.002683;0.00171429;0.002683;0.004794;0.00104836;0.009874;0.001016
0.0007;0.002683;0.002;0.002683;0.004794;0.001016;0.012414;0.001016
0.0008;0.002683;0.002;0.00240492;0.00581;0.001016;0.014954;0.001016
0.0009;0.002683;0.00231044;0.00222646;0.006826;0.001016;0.014954;0.0013331
0.001;0.002683;0.00262089;0.00188819;0.007842;0.001016;0.017748;0.0013331
0.0011;0.002683;0.00293133;0.00161687;0.008858;0.001016;0.017748;0.002683
0.0012;0.002683;0.00324178;0.00141925;0.009874;0.001016;0.019748;0.002683
0.0013;0.002683;0.00355222;0.00127305;0.01089;0.001016;;
0.0014;0.002683;0.00386267;0.00116094;0.011906;0.001016;;
0.0015;0.002683;0.00417311;0.00108072;0.012922;0.001016;;
0.0016;0.002683;0.00448356;0.00103588;0.013938;0.001016;;
0.0017;0.002683;0.004794;0.00101922;0.014954;0.001016;;
0.0018;0.002683;0.004794;0.001016;0.014954;0.00104836;;
0.0019;0.002683;0.00509282;0.001016;0.0158853;0.00119073;;
0.002;0.002683;0.00539165;0.001016;0.0168167;0.00167532;;
0.002;0.00258341;0.00569047;0.001016;0.017748;0.00201755;;
0.00209979;0.00251528;0.00598929;0.001016;0.017748;0.002683;;
0.00219957;0.00236676;0.00628812;0.001016;0.018748;0.002683;;
0.00229936;0.00223238;0.00658694;0.001016;0.019748;0.002683;;
0.00239914;0.0021132;0.00688576;0.001016;;;;
0.00249893;0.00200348;0.00718459;0.001016;;;;
0.00259871;0.0019046;0.00748341;0.001016;;;;
0.0026985;0.00180092;0.00778224;0.001016;;;;
0.00279829;0.00171754;0.00808106;0.001016;;;;
0.00289807;0.00164161;0.00837988;0.001016;;;;
0.00299786;0.00157078;0.00867871;0.001016;;;;
0.00309764;0.00150621;0.00897753;0.001016;;;;
0.00319743;0.00144602;0.00927635;0.001016;;;;
0.00329721;0.00139127;0.00957518;0.001016;;;;
0.003397;0.00134036;0.009874;0.001016;;;;
0.00349679;0.00129432;0.0101728;0.001016;;;;
0.00359657;0.00125174;0.0104716;0.001016;;;;
0.00369636;0.0012136;0.0107705;0.001016;;;;
0.00379614;0.00117865;0.0110693;0.001016;;;;
0.00389593;0.00114782;0.0113681;0.001016;;;;
0.00399571;0.00111998;0.0116669;0.001016;;;;
0.0040955;0.00109602;0.0119658;0.001016;;;;
0.00419529;0.00107243;0.0122646;0.001016;;;;
0.00429507;0.00105503;0.0125634;0.001016;;;;
0.00439486;0.00104128;0.0128622;0.001016;;;;
0.00449464;0.00103023;0.0131611;0.001016;;;;
0.00459443;0.00102274;0.0134599;0.001016;;;;
0.00469421;0.00101791;0.0137587;0.001016;;;;
0.004794;0.00101659;0.0140575;0.001016;;;;
0.004794;0.001016;0.0143564;0.001016;;;;
0.00489361;0.001016;0.0146552;0.001016;;;;
0.00499322;0.001016;0.014954;0.001016;;;;
0.00509282;0.001016;0.014954;0.00101922;;;;
0.00519243;0.001016;0.0152644;0.00103379;;;;
0.00529204;0.001016;0.0155749;0.00107862;;;;
0.00539165;0.001016;0.0158853;0.0011558;;;;
0.00549125;0.001016;0.0161958;0.00127482;;;;
0.00559086;0.001016;0.0165062;0.00143516;;;;
0.00569047;0.001016;0.0168167;0.00163749;;;;
0.00579008;0.001016;0.0171271;0.00188457;;;;
0.00588969;0.001016;0.0174376;0.00221123;;;;
0.00598929;0.001016;0.017748;0.00240492;;;;
0.0060889;0.001016;0.017748;0.002683;;;;
0.00618851;0.001016;0.0180337;0.002683;;;;
0.00628812;0.001016;0.0183194;0.002683;;;;
0.00638773;0.001016;0.0186051;0.002683;;;;
0.00648733;0.001016;0.0188909;0.002683;;;;
0.00658694;0.001016;0.0191766;0.002683;;;;
0.00668655;0.001016;0.0194623;0.002683;;;;
0.00678616;0.001016;0.019748;0.002683;;;;
0.00688576;0.001016;;;;;;
0.00698537;0.001016;;;;;;
0.00708498;0.001016;;;;;;
0.00718459;0.001016;;;;;;
0.0072842;0.001016;;;;;;
0.0073838;0.001016;;;;;;
0.00748341;0.001016;;;;;;
0.00758302;0.001016;;;;;;
0.00768263;0.001016;;;;;;
0.00778224;0.001016;;;;;;
0.00788184;0.001016;;;;;;
0.00798145;0.001016;;;;;;
0.00808106;0.001016;;;;;;
0.00818067;0.001016;;;;;;
0.00828027;0.001016;;;;;;
0.00837988;0.001016;;;;;;
0.00847949;0.001016;;;;;;
0.0085791;0.001016;;;;;;
0.00867871;0.001016;;;;;;
0.00877831;0.001016;;;;;;
0.00887792;0.001016;;;;;;
0.00897753;0.001016;;;;;;
0.00907714;0.001016;;;;;;
0.00917675;0.001016;;;;;;
0.00927635;0.001016;;;;;;
0.00937596;0.001016;;;;;;
0.00947557;0.001016;;;;;;
0.00957518;0.001016;;;;;;
0.00967478;0.001016;;;;;;
0.00977439;0.001016;;;;;;
0.009874;0.001016;;;;;;
0.00997361;0.001016;;;;;;
0.0100732;0.001016;;;;;;
0.0101728;0.001016;;;;;;
0.0102724;0.001016;;;;;;
0.010372;0.001016;;;;;;
0.0104716;0.001016;;;;;;
0.0105713;0.001016;;;;;;
0.0106709;0.001016;;;;;;
0.0107705;0.001016;;;;;;
0.0108701;0.001016;;;;;;
0.0109697;0.001016;;;;;;
0.0110693;0.001016;;;;;;
0.0111689;0.001016;;;;;;
0.0112685;0.001016;;;;;;
0.0113681;0.001016;;;;;;
0.0114677;0.001016;;;;;;
0.0115673;0.001016;;;;;;
0.0116669;0.001016;;;;;;
0.0117665;0.001016;;;;;;
0.0118662;0.001016;;;;;;
0.0119658;0.001016;;;;;;
0.0120654;0.001016;;;;;;
0.012165;0.001016;;;;;;
0.0122646;0.001016;;;;;;
0.0123642;0.001016;;;;;;
0.0124638;0.001016;;;;;;
0.0125634;0.001016;;;;;;
0.012663;0.001016;;;;;;
0.0127626;0.001016;;;;;;
0.0128622;0.001016;;;;;;
0.0129618;0.001016;;;;;;
0.0130615;0.001016;;;;;;
0.0131611;0.001016;;;;;;
0.0132607;0.001016;;;;;;
0.0133603;0.001016;;;;;;
0.0134599;0.001016;;;;;;
0.0135595;0.001016;;;;;;
0.0136591;0.001016;;;;;;
0.0137587;0.001016;;;;;;
0.0138583;0.001016;;;;;;
0.0139579;0.001016;;;;;;
0.0140575;0.001016;;;;;;
0.0141571;0.001016;;;;;;
0.0142567;0.001016;;;;;;
0.0143564;0.001016;;;;;;
0.014456;0.001016;;;;;;
0.0145556;0.001016;;;;;;
0.0146552;0.001016;;;;;;
0.0147548;0.001016;;;;;;
0.0148544;0.001016;;;;;;
0.014954;0.001016;;;;;;
0.014954;0.00101659;;;;;;
0.0150538;0.00101791;;;;;;
0.0151536;0.00102274;;;;;;
0.0152534;0.00103023;;;;;;
0.0153531;0.00104128;;;;;;
0.0154529;0.00105503;;;;;;
0.0155527;0.00107243;;;;;;
0.0156525;0.00109602;;;;;;
0.0157523;0.00111998;;;;;;
0.0158521;0.00114782;;;;;;
0.0159519;0.00117865;;;;;;
0.0160516;0.0012136;;;;;;
0.0161514;0.00125174;;;;;;
0.0162512;0.00129432;;;;;;
0.016351;0.00134036;;;;;;
0.0164508;0.00139127;;;;;;
0.0165506;0.00144602;;;;;;
0.0166504;0.00150621;;;;;;
0.0167501;0.00157078;;;;;;
0.0168499;0.00164161;;;;;;
0.0169497;0.00171754;;;;;;
0.0170495;0.00180092;;;;;;
0.0171493;0.0019046;;;;;;
0.0172491;0.00200348;;;;;;
0.0173489;0.0021132;;;;;;
0.0174486;0.00223238;;;;;;
0.0175484;0.00236676;;;;;;
0.0176482;0.00251528;;;;;;
0.017748;0.00258341;;;;;;
0.017748;0.002683;;;;;;
0.017848;0.002683;;;;;;
0.017948;0.002683;;;;;;
0.018048;0.002683;;;;;;
0.018148;0.002683;;;;;;
0.018248;0.002683;;;;;;
0.018348;0.002683;;;;;;
0.018448;0.002683;;;;;;
0.018548;0.002683;;;;;;
0.018648;0.002683;;;;;;
0.018748;0.002683;;;;;;
0.018848;0.002683;;;;;;
0.018948;0.002683;;;;;;
0.019048;0.002683;;;;;;
0.019148;0.002683;;;;;;
0.019248;0.002683;;;;;;
0.019348;0.002683;;;;;;
0.019448;0.002683;;;;;;
0.019548;0.002683;;;;;;
0.019648;0.002683;;;;;;
0.019748;0.002683;;;;;;
